City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
79,New Norfolk,75,AU,1579806128,54,-42.78,147.06,60.998000000000026,7.7
80,Lompoc,1,US,1579791939,56,34.64,-120.46,71.99600000000005,2.6
81,Thompson,20,CA,1579790466,72,55.74,-97.86,10.399999999999999,2.6
82,Sao Filipe,1,CV,1579766853,74,14.9,-24.5,71.56400000000004,3.92
83,Merauke,6,ID,1579811685,69,-8.47,140.33,87.22400000000002,1.35
84,Isangel,20,VU,1579803720,69,-19.55,169.27,82.4,2.6
85,Aasiaat,100,GL,1579787038,75,68.71,-52.87,11.264000000000031,9.65
86,Ushuaia,75,AR,1579768615,71,-54.8,-68.3,50.0,10.8
87,Den Helder,90,NL,1579851421,93,52.96,4.76,41.0,2.6
88,Fairbanks,90,US,1579806336,83,64.84,-147.72,-7.005999999999979,0.79
89,Benguela,100,AO,1579841792,80,-12.58,13.41,78.22400000000002,1.93
90,Zeerust,83,ZA,1579837490,60,-25.54,26.08,68.0,7.7
91,Bambous Virieux,75,MU,1579830417,94,-20.34,57.76,80.00600000000003,1.0
92,Santiago,94,CL,1579773336,37,-33.46,-70.65,84.2,4.6
93,Sikonge,100,TZ,1579837751,93,-5.63,32.77,64.76000000000008,0.94
94,Kiama,40,AU,1579806434,69,-34.68,150.87,77.0,6.2
95,Upernavik,37,GL,0,59,72.79,-56.15,-5.8539999999999495,3.72
96,Maningrida,100,AU,1579812821,85,-12.07,134.27,82.36400000000003,9.27
97,Tomigusuku,75,JP,1579817816,88,26.18,127.67,66.2,1.5
98,Aswan,0,EG,1579840341,43,24.09,32.91,51.8,2.6
99,Tazovsky,100,RU,1579840354,94,67.47,78.7,5.558000000000003,6.5
100,Mataura,56,NZ,1579800261,57,-46.19,168.86,78.00800000000001,2.24
101,Key West,40,US,1579781523,77,24.56,-81.78,71.6,2.6
102,Peace River,90,CA,1579795278,74,56.25,-117.29,28.4,3.6
103,Cayenne,24,GF,1579772661,78,4.93,-52.33,77.0,2.1
104,Zeya,0,RU,1579822248,81,53.75,127.27,-22.035999999999966,3.47
105,Bonthe,93,SL,1579763326,81,7.53,-12.51,79.16000000000008,2.86
106,Mar del Plata,40,AR,1579769566,55,-38.0,-57.56,86.0,7.7
107,Jaru,100,BR,1579773771,93,-10.44,-62.47,75.03800000000004,0.65
108,Troitsko-Pechorsk,100,RU,1579842509,95,62.71,56.2,13.154000000000053,2.13
109,Codrington,88,AU,1579808069,73,-38.27,141.97,62.024000000000015,8.29
110,Altay,73,CN,1579830310,77,47.87,88.12,9.608000000000004,2.4
111,Hamilton,90,US,1579783926,45,39.18,-84.53,44.99600000000005,2.37
112,Jejuri,32,IN,1579829880,53,18.28,74.17,64.22000000000006,1.72
113,Pevek,99,RU,1579821149,99,69.7,170.31,-27.99399999999997,2.67
114,Torquay,90,GB,1579766487,93,50.46,-3.51,42.998000000000026,2.1
115,Grindavik,90,IS,1579775711,66,63.84,-22.43,32.0,17.0
116,Hofn,69,IS,1579774226,59,64.25,-15.21,35.24000000000002,18.65
117,Ciudad Lazaro Cardenas,97,MX,1579785782,68,17.96,-102.2,79.41200000000006,2.97
118,Khuzhir,100,RU,1579826882,82,53.19,107.34,14.936000000000067,1.39
119,Nueva Guinea,54,NI,1579780957,89,11.69,-84.46,72.82400000000001,3.36
120,Rodino,100,RU,1579833206,92,52.5,80.25,29.3,10.88
121,Castro,100,BR,1579769395,98,-24.79,-50.01,59.99000000000002,3.02
122,Gizo,27,SB,1579807753,71,-8.1,156.84,82.20200000000008,3.49
123,Saskylakh,45,RU,0,95,71.92,114.08,-36.36399999999999,5.64
124,Milos,0,GR,1579843818,59,36.75,24.43,46.4,7.2
125,Alofi,75,NU,1579798771,74,-19.06,-169.92,84.2,7.2
126,Soure,60,BR,1579771265,91,-0.72,-48.52,77.30600000000004,2.75
127,Roald,95,NO,1579854440,75,62.58,6.13,42.8,10.3
128,Hermanus,50,ZA,1579838085,81,-34.42,19.23,69.00800000000001,4.92
129,Bonavista,3,CA,1579777997,83,48.65,-53.11,26.00600000000003,4.47
130,Parksville,90,CA,1579795214,93,49.32,-124.32,51.998000000000026,5.7
131,Kingston,40,JM,1579779687,69,18.0,-76.79,78.80000000000001,3.1
132,Khani,90,GE,1579840116,93,41.96,42.96,35.6,7.2
133,Brae,100,GB,1579768970,81,60.4,-1.35,44.6,9.3
134,Oranjemund,0,NA,1579839474,85,-28.55,16.43,64.49000000000002,0.21
135,Norman Wells,90,CA,1579801625,84,65.28,-126.83,-2.199999999999953,2.1
136,Avarua,90,CK,1579796124,88,-21.21,-159.78,82.4,4.1
137,Guerrero Negro,0,MX,1579789628,48,27.98,-114.06,69.20600000000003,5.05
138,Jamestown,75,US,1579783095,40,42.1,-79.24,39.00200000000008,1.5
139,Shache,4,CN,1579831374,60,38.42,77.24,20.299999999999997,1.72
140,Kruisfontein,2,ZA,1579836819,88,-34.0,24.73,62.312000000000054,4.24
141,Gwadar,0,PK,1579833386,54,25.12,62.33,71.13200000000002,3.14
142,Ola,0,RU,1579818341,71,59.58,151.28,-19.857999999999954,3.19
143,Bethel,75,US,1579781583,47,41.37,-73.41,39.00200000000008,2.1
144,Bredasdorp,79,ZA,1579837876,77,-34.53,20.04,68.0,4.6
145,Kathmandu,20,NP,1579828141,93,27.72,85.32,39.2,1.0
146,Saint-Philippe,90,RE,1579830793,100,-21.36,55.77,78.80000000000001,2.1
147,Qaanaaq,0,GL,0,60,77.48,-69.36,-11.649999999999949,2.42
148,Hasaki,40,JP,1579815760,100,35.73,140.83,42.998000000000026,2.1
149,Nizwa,7,OM,1579834318,84,22.93,57.53,55.36400000000003,0.12
150,Tuatapere,82,NZ,1579800556,57,-46.13,167.68,78.00800000000001,2.24
151,Leiyang,100,CN,1579821393,96,26.4,112.86,44.780000000000044,2.86
152,Rafai,89,CF,1579840771,23,4.95,23.92,67.37000000000006,2.99
153,Vizinga,100,RU,1579843201,91,61.07,50.1,14.0,3.7
154,Pointe Michel,75,DM,1579775736,69,15.25,-61.38,82.4,2.6
155,Ottawa,90,CA,1579782799,93,45.41,-75.7,33.008,0.4
156,Praia,39,CV,1579766617,73,14.92,-23.51,71.6,5.7
157,Boa Vista,49,BR,1579774483,48,2.82,-60.67,87.80000000000001,3.1
158,Ayacucho,75,PE,1579776347,31,-13.16,-74.22,75.2,1.0
159,Lircay,75,PE,1579776483,31,-12.99,-74.72,75.2,1.0
160,East London,61,ZA,1579836181,78,-33.02,27.91,68.25200000000008,5.81
161,Vardo,90,NO,1579855613,92,70.37,31.11,19.4,5.7
162,Shalya,98,RU,1579839700,98,57.25,58.73,8.438000000000045,2.28
163,Yinchuan,95,CN,1579824417,70,38.47,106.27,22.352000000000075,1.02
164,Kidal,67,ML,1579760961,14,18.44,1.41,71.52800000000008,4.66
165,Lorengau,53,PG,1579810573,69,-2.02,147.27,83.67800000000007,3.37
166,Nazira,97,IN,1579825798,87,26.92,94.73,55.13000000000004,3.01
167,Todos Santos,5,MX,1579788236,64,23.45,-110.22,71.6,7.2
168,Kiryat Gat,75,IL,1579840706,81,31.61,34.76,53.6,6.7
169,Oruzgan,97,AF,1579833354,98,32.83,66.0,27.644000000000073,1.85
170,Antofagasta,5,CL,1579774412,57,-23.65,-70.4,77.0,4.6
171,Acurenam,83,GQ,1579843625,99,1.03,10.65,69.674,1.09
172,Hambantota,0,LK,1579827140,80,6.12,81.12,79.64600000000004,10.15
173,Egvekinot,4,RU,1579901112,77,66.32,-179.17,-18.201999999999977,1.34
174,Nishihara,75,JP,1579817795,88,26.18,127.76,66.2,1.5
175,Teluk Nibung,58,ID,1579822387,83,3.0,99.82,79.66400000000004,2.6
176,Vytegra,100,RU,1579846446,85,61.01,36.45,21.128000000000064,2.94
177,Hokitika,51,NZ,1579800394,78,-42.72,170.97,63.69800000000002,2.33
178,Airai,48,TL,1579815226,67,-8.93,125.41,75.97400000000002,0.75
179,Morant Bay,40,JM,1579779585,69,17.88,-76.41,78.80000000000001,3.1
180,Cabo San Lucas,20,MX,1579788105,60,22.89,-109.91,73.00400000000005,4.6
181,Huarmey,98,PE,1579777569,77,-10.07,-78.15,72.57200000000003,1.98
182,Lima,75,PE,1579777124,61,-12.04,-77.03,80.6,2.6
183,Jieshi,69,CN,1579820316,88,22.81,115.83,71.99600000000005,3.54
184,Igarka,100,RU,1579838468,94,67.47,86.58,-0.20199999999997686,7.28
185,Sitka,90,US,1579799855,86,57.05,-135.33,41.0,7.7
186,Puerto del Rosario,1,ES,1579765642,77,28.5,-13.86,59.0,2.6
187,Kedrovyy,100,RU,1579831428,73,56.17,91.82,24.8,4.0
188,Kuruman,4,ZA,1579837917,27,-27.45,23.43,73.00400000000005,3.13
189,Mount Isa,90,AU,1579810751,78,-20.73,139.5,82.4,3.6
190,Ravar,0,IR,1579835376,54,31.27,56.81,41.9,2.61
191,Puerto Ayora,75,EC,1579781304,62,-0.74,-90.35,84.2,2.1
192,Bruck an der Leitha,0,AT,1579847451,88,48.02,16.77,33.008,7.7
193,Panama,75,PA,1579779536,74,8.99,-79.52,82.99400000000009,4.1
194,Senno,100,RU,1579846450,89,59.53,33.92,24.998000000000026,1.34
195,Narsaq,100,GL,1579779905,62,60.92,-46.05,23.0,5.7
196,West Valley City,75,US,1579790737,57,40.69,-112.0,48.2,1.5
197,Emba,100,KZ,1579837691,95,48.83,58.14,27.59000000000002,6.21
198,Sobolevo,100,RU,1579845296,86,54.43,31.9,29.57000000000006,4.94
199,Nikolskoye,90,RU,1579847266,96,59.7,30.79,33.008,4.0
200,Churapcha,100,RU,1579823895,97,62.0,132.43,-31.89999999999995,1.95
201,Lebu,17,CL,1579773486,66,-37.62,-73.65,62.294000000000075,4.45
202,Esim,80,GH,1579760632,87,4.87,-2.24,79.16000000000008,1.54
203,Saint-Joseph,90,RE,1579830828,100,-21.37,55.62,78.80000000000001,2.1
204,Kanniyakumari,0,IN,1579828160,76,8.08,77.57,78.90800000000002,13.85
205,Nanortalik,100,GL,1579779381,92,60.14,-45.24,29.390000000000022,7.52
206,Westport,1,US,1579781536,56,41.14,-73.36,41.0,2.37
207,Bilma,75,NE,1579844617,18,18.69,12.92,61.46600000000001,3.6
208,Marapanim,83,BR,1579771068,81,-0.72,-47.7,81.78800000000004,7.18
209,Mirny,20,RU,1579828584,80,62.54,113.96,-41.799999999999955,1.54
210,Dunedin,84,NZ,1579799930,86,-45.87,170.5,60.33200000000002,4.15
211,Arroio Grande,12,BR,1579769274,87,-32.24,-53.09,66.25400000000005,3.89
212,Mount Gambier,90,AU,1579808422,87,-37.83,140.77,59.0,4.6
213,Oodweyne,100,SO,1579836077,48,9.41,45.06,67.17200000000004,4.68
214,Lensk,100,RU,1579827519,98,60.73,114.93,-6.447999999999972,2.52
215,Tanout,7,NE,1579845245,14,14.97,8.89,63.64400000000008,6.82
216,Sola,0,VU,1579804667,66,-13.88,167.55,82.20200000000008,3.91
217,Ribeira Grande,69,PT,1579770439,73,38.52,-28.7,53.18600000000007,3.85
218,Oussouye,94,SN,1579764728,83,12.48,-16.55,78.80000000000001,2.1
219,Acapulco de Juarez,75,MX,1579785125,70,16.86,-99.89,84.2,5.1
220,Peleduy,100,RU,1579827597,93,59.63,112.74,-0.8499999999999517,3.86
221,Pisco,75,PE,1579776778,30,-13.7,-76.22,78.00800000000001,5.7
222,Poltavka,96,RU,1579835722,95,54.37,71.76,29.408000000000005,5.01
223,Kaili,100,ID,1579816946,89,-3.46,120.21,67.55000000000001,0.5
224,Creel,0,MX,1579788060,42,27.75,-107.63,53.99600000000005,2.69
225,Broome,1,US,1579782301,37,42.25,-75.83,35.6,1.41
226,Talnakh,75,RU,1579840393,77,69.49,88.4,1.3999999999999986,9.0
227,Lianzhou,99,CN,1579821341,85,24.78,112.38,51.674000000000014,2.93
228,Longyearbyen,20,SJ,0,71,78.22,15.64,6.800000000000001,18.5
229,Barranca,33,PE,1579777417,90,-10.75,-77.77,74.30000000000001,0.49
230,Salinopolis,83,BR,1579770996,81,-0.61,-47.36,81.78800000000004,7.18
231,Jumla,0,NP,1579829063,53,29.27,82.18,16.28600000000007,2.92
232,Seoul,1,KR,1579819325,92,37.57,126.98,32.0,1.68
233,Churachandpur,0,IN,1579825785,89,24.33,93.67,44.45600000000003,0.47
234,Katsina,0,NG,1579845379,15,12.99,7.6,63.05,5.61
235,Witu,100,KE,1579836186,89,-2.39,40.44,80.18600000000006,3.72
236,Los Reyes Acaquilpan,90,MX,1579785137,31,19.35,-98.97,78.80000000000001,5.1
237,Mahabalipuram,20,IN,1579827930,94,12.63,80.17,75.99199999999999,1.0
238,Zyryanka,98,RU,1579821669,100,65.75,150.85,-34.27599999999994,0.3
